counter,WellID,meanError,minError,maxError,#samples,delta
253,1720,4.2281,1.0701,9.0113,12,0.3523416667
155,1782,3.1723,2.2861,4.5784,9,0.3524777778
94,2,2.4702,0.1379,4.6762,7,0.3528857143
418,2413,6.0145,0.8983,19.5019,17,0.3537941176
397,2565,5.6727,0.0241,14.1406,16,0.35454375
205,972,3.5483,0.8991,6.9944,10,0.35483
556,486,7.4527,1.2883,13.458,21,0.3548904762
447,1824,6.4077,1.7968,11.0484,18,0.3559833333
487,1197,6.7667,0.6643,17.3444,19,0.3561421053
420,2553,6.0578,1.8976,12.7977,17,0.3563411765
521,1583,7.1513,1.2986,11.9385,20,0.357565
261,163,4.2959,0.2327,18.4695,12,0.3579916667
365,2155,5.3722,0.0558,14.6538,15,0.3581466667
560,1851,7.5556,2.5694,11.786,21,0.3597904762
428,1004,6.1371,0.3707,11.3436,17,0.3610058824
264,543,4.3546,1.8496,7.6905,12,0.3628833333
266,1844,4.3642,2.0135,7.6307,12,0.3636833333
267,1707,4.3703,1.8615,6.3179,12,0.3641916667
506,648,6.9684,2.6393,13.8103,19,0.3667578947
546,1147,7.3704,2.3937,13.9005,20,0.36852
211,145,3.6863,0.9316,12.9993,10,0.36863
383,1151,5.5331,0.2466,27.7848,15,0.3688733333
239,642,4.0728,0.3726,8.324,11,0.3702545455
515,713,7.0366,2.817,13.2228,19,0.3703473684
240,1192,4.0782,0.4991,8.0689,11,0.3707454545
478,1950,6.7121,3.3766,9.4145,18,0.3728944444
175,1745,3.3638,0.2972,5.547,9,0.3737555556
215,1831,3.7402,0.3971,6.2068,10,0.37402
392,76,5.6123,0.1668,11.5783,15,0.3741533333
315,818,4.8767,0.1085,12.5355,13,0.3751307692
243,1778,4.1378,2.9959,5.4878,11,0.3761636364
318,1637,4.8947,2.349,7.8336,13,0.3765153846
355,1942,5.2825,2.2859,8.5705,14,0.3773214286
491,1818,6.8135,2.8188,10.1295,18,0.3785277778
598,1868,7.9587,3.3736,11.5615,21,0.3789857143
361,2075,5.3252,0.807,11.681,14,0.3803714286
398,228,5.7087,3.5373,9.6614,15,0.38058
627,240,8.3915,5.4537,11.7179,22,0.3814318182
498,709,6.8783,3.0432,10.6884,18,0.3821277778
186,766,3.4458,0.9654,6.1634,9,0.3828666667
291,1261,4.5984,0.0856,9.6316,12,0.3832
571,1767,7.6702,5.7163,9.1792,20,0.38351
294,1423,4.6082,1.3341,8.2002,12,0.3840166667
400,850,5.762,1.3191,11.716,15,0.3841333333
401,1617,5.7636,0.7653,10.5132,15,0.38424
402,1961,5.7783,2.7334,8.4706,15,0.38522
539,2210,7.3218,1.3834,12.2533,19,0.3853578947
326,1634,5.0167,2.9105,9.63,13,0.3859
542,1984,7.3333,1.5439,14.7596,19,0.3859631579
404,2325,5.7976,3.6895,8.8454,15,0.3865066667
433,495,6.2044,2.4841,10.4499,16,0.387775
548,2550,7.3725,1.4624,14.8007,19,0.3880263158
509,983,6.9884,0.8615,10.5541,18,0.3882444444
332,1828,5.0555,3.0013,7.8501,13,0.3888846154
434,1218,6.2297,0.264,19.8674,16,0.38935625
554,1918,7.4245,5.9143,8.7375,19,0.3907631579
405,953,5.868,0.4414,11.2134,15,0.3912
555,685,7.4483,2.4305,11.2406,19,0.3920157895
231,1579,3.9256,1.3266,5.464,10,0.39256
559,949,7.4997,3.1073,14.6316,19,0.3947210526
479,1379,6.7132,0.0668,15.0315,17,0.3948941176
441,1585,6.3195,3.015,10.4787,16,0.39496875
480,421,6.7224,0.2583,16.4785,17,0.3954352941
384,1434,5.5416,0.2513,12.3564,14,0.3958285714
345,1695,5.1777,2.3229,7.9298,13,0.3982846154
309,788,4.7979,1.1362,10.2238,12,0.399825
628,886,8.3975,4.4718,13.3182,21,0.3998809524
526,2000,7.2218,4.9544,10.9316,18,0.4012111111
495,2251,6.861,1.5163,23.9558,17,0.4035882353
453,2708,6.4581,1.77,18.183,16,0.40363125
421,1853,6.0594,1.0964,10.2166,15,0.40396
454,2464,6.4659,0.0534,23.2724,16,0.40411875
458,222,6.4808,1.7031,13.1675,16,0.40505
396,513,5.6724,0.6611,9.306,14,0.4051714286
459,1769,6.4898,4.9412,8.651,16,0.4056125
354,398,5.28,0.1146,8.6755,13,0.4061538462
462,1710,6.5184,5.3027,8.0246,16,0.4074
425,490,6.1157,0.6806,11.2217,15,0.4077133333
579,414,7.7614,0.8302,24.4172,19,0.4084947368
465,2241,6.5465,0.7543,13.8228,16,0.40915625
505,613,6.9582,2.9946,12.6187,17,0.4093058824
508,1879,6.9852,3.1854,12.5155,17,0.4108941176
510,2193,6.9913,1.4339,17.9372,17,0.4112529412
550,1040,7.4113,1.4761,20.4086,18,0.4117388889
430,1567,6.1922,4.4976,7.7213,15,0.4128133333
558,1320,7.489,0.6105,15.5039,18,0.4160555556
436,1821,6.2463,3.6345,11.5248,15,0.41642
595,1227,7.9187,1.0302,24.0642,19,0.4167736842
622,2115,8.34,4.2249,14.5084,20,0.417
438,465,6.2604,0.063,13.2782,15,0.41736
372,73,5.4296,0.4196,12.2756,13,0.4176615385
476,1661,6.7,1.0643,14.2056,16,0.41875
374,1620,5.4657,1.7642,12.5121,13,0.4204384615
440,2359,6.3105,1.4195,14.4685,15,0.4207
409,1678,5.8935,2.1906,10.2474,14,0.4209642857
410,1274,5.8962,1.4645,11.6028,14,0.4211571429
483,1101,6.7399,1.2321,12.7297,16,0.42124375
333,2154,5.0636,0.0109,9.565,12,0.4219666667
602,941,8.0207,4.5892,12.5526,19,0.4221421053
633,395,8.4501,3.0889,19.258,20,0.422505
488,2576,6.7693,0.1548,21.7696,16,0.42308125
411,2093,5.924,0.3144,10.7013,14,0.4231428571
444,136,6.3496,0.201,15.2075,15,0.4233066667
295,2275,4.658,1.5777,9.7706,11,0.4234545455
296,1202,4.6705,0.2493,10.3709,11,0.4245909091
569,2377,7.6586,0.1405,22.103,18,0.4254777778
336,1794,5.1106,3.1071,6.9423,12,0.4258833333
446,2023,6.3889,4.1095,9.2228,15,0.4259266667
385,616,5.5466,3.8686,9.4332,13,0.4266615385
530,1945,7.256,3.2204,10.8883,17,0.4268235294
663,656,8.9701,5.0352,17.561,21,0.427147619
531,1774,7.2688,4.4823,10.6657,17,0.4275764706
494,2691,6.8587,1.9019,17.6243,16,0.42866875
387,91,5.5736,0.7053,13.0538,13,0.4287384615
183,250,3.4303,1.1528,7.1335,8,0.4287875
450,1779,6.4342,0.7759,11.572,15,0.4289466667
497,1867,6.8642,0.5311,16.1436,16,0.4290125
452,2653,6.4442,0.8296,20.1024,15,0.4296133333
391,1260,5.6025,0.2982,10.6428,13,0.4309615385
541,2390,7.3331,0.1677,19.8157,17,0.4313588235
580,224,7.7652,6.2062,9.5253,18,0.4314
583,2015,7.7819,1.3354,13.4422,18,0.4323277778
503,82,6.9184,0.1175,11.9243,16,0.4324
394,507,5.6435,1.1225,11.7613,13,0.4341153846
461,2234,6.5118,0.0806,21.2348,15,0.43412
306,1179,4.7866,1.063,8.6154,11,0.4351454545
551,1595,7.4124,3.3488,13.3701,17,0.4360235294
552,568,7.4159,3.2484,11.2011,17,0.4362294118
553,2453,7.422,0.6957,16.1402,17,0.4365882353
617,2674,8.2957,0.725,20.2778,19,0.4366157895
351,455,5.2476,1.9729,10.422,12,0.4373
468,1292,6.5693,0.6436,14.7435,15,0.4379533333
623,2110,8.3513,0.7911,15.9045,19,0.4395421053
314,1672,4.866,2.8396,7.1187,11,0.4423636364
473,1899,6.6459,4.5133,9.5829,15,0.44306
519,1699,7.0917,3.6929,17.9085,16,0.44323125
474,518,6.6519,2.6696,10.1316,15,0.44346
601,2271,8.0087,5.2084,11.3173,18,0.4449277778
561,1249,7.5672,0.3625,18.2955,17,0.4451294118
562,1211,7.5724,0.04,25.5857,17,0.4454352941
276,2153,4.4576,0.9921,11.3784,10,0.44576
523,2156,7.1621,0.3471,12.8805,16,0.44763125
367,976,5.3917,2.838,11.125,12,0.4493083333
566,2267,7.6407,3.4396,12.9916,17,0.4494529412
371,1916,5.4203,1.8826,7.0896,12,0.4516916667
574,309,7.7161,0.4533,18.8343,17,0.4538882353
532,587,7.2732,0.5695,16.9745,16,0.454575
533,1925,7.2794,5.8112,9.3917,16,0.4549625
412,744,5.9247,3.2494,9.4019,13,0.4557461538
679,1010,9.1158,5.0508,12.7568,20,0.45579
